問題,正解,不正解
日本<style=C2-3>にほん</style>で第2位<style=C3-4>だいにい</style>となる幕張<style=C2-4>まくはり</style>メッセの総展示面積<style=C5-9>そうてんじめんせき</style>は何平方<style=C3-6>なんへいほう</style>メートルでしょうか？,7万<style=C1-2>まん</style>2000平方<style=C2-4>へいほう</style>メートル,11万<style=C1-2>まん</style>5420平方<style=C2-4>へいほう</style>メートル
幕張<style=C2-4>まくはり</style>メッセに面<style=C1-2>めん</style>している人工海浜<style=C4-8>じんこうかいひん</style>である幕張<style=C2-4>まくはり</style>の浜<style=C1-2>はま</style>はいつ完成<style=C2-4>かんせい</style>したでしょうか？,1979年<style=C1-2>ねん</style>,1945年<style=C1-2>ねん</style>
稲毛海浜公園<style=C6-11>いなげかいひんこうえん</style>・いなげの浜<style=C1-2>はま</style>は波<style=C1-2>なみ</style>の影響<style=C2-4.5>えいきょう</style>で砂<style=C1-2>すな</style>が浸食<style=C2-4.5>しんしょく</style>されますが何年<style=C2-4>なんねん</style>おきに補充<style=C2-3.5>ほじゅう</style>するでしょうか？,10年<style=C1-2>ねん</style>,1年<style=C1-2>ねん</style>
県立幕張海浜公園<style=C8-16>けんりつまくはりかいひんこうえん</style>で見<style=C1-1>み</style>ることのできる千葉<style=C2-2>ちば</style>にしかない花<style=C1-2>はな</style>は何<style=C1-2>なん</style>でしょうか？,大賀<style=C2-3>おおが</style>ハス,チューリップ
民間航空発祥<style=C6-12>みんかんこうくうはっしょう</style>の地記念碑<style=C4-5>ちきねんひ</style>の高<style=C1-2>たか</style>さと幅<style=C1-2>はば</style>は何<style=C1-2>なん</style>メートルでしょうか？,9メートル,5メートル
豊砂<style=C2-4>とよすな</style>の浜<style=C1-2>はま</style>やいなげの浜<style=C1-2>はま</style>、検見川<style=C3-4>けみがわ</style>の浜<style=C1-2>はま</style>に面<style=C1-2>めん</style>している海<style=C1-2>うみ</style>の名前<style=C2-3>なまえ</style>は何<style=C1-2>なん</style>でしょう？,東京湾<style=C3-6.5>とうきょうわん</style>,太平洋<style=C3-6>たいへいよう</style>
幕張海浜緑地<style=C3-11.5>まくはりかいひんりょくち</style>のAブロックにないものは何<style=C1-2>なん</style>でしょう？,にぎわいの広場<style=C2-3>ひろば</style>,創作<style=C2-4>そうさく</style>の広場<style=C2-4>ひろば</style>
千葉市<style=C3-3>ちばし</style>の幕張海浜公園<style=C6-12>まくはりかいひんこうえん</style>にある関東1番<style=C4-8>かんとういちばん</style>のものなんでしょう？,花時計<style=C3-5>はなとけい</style>,花壇<style=C2-3>かだん</style>
千葉市<style=C3-3>ちばし</style>にある日本<style=C2-3>にほん</style>の伝統文化<style=C3-7>でんとうぶんか</style>を表現<style=C2-4.5>ひょうげん</style>し、接<style=C1-2>せっ</style>してもらうことを目的<style=C2-4>もくてき</style>とした日本庭園<style=C4-7>にほんていえん</style>はどこでしょう？,美浜園<style=C3-5>みはまえん</style>,ゴリラ公園<style=C2-4>こうえん</style>
千葉市<style=C3-3>ちばし</style>にある昭和<style=C2-3.5>しょうわ</style>の森<style=C1-2>もり</style>にあるローラー滑<style=C1-2>すべ</style>り台<style=C1-2>だい</style>は千葉県<style=C3-4>ちばけん</style>で最長<style=C2-4.5>さいちょう</style>ですがその長<style=C1-2>なが</style>さは何<style=C1-2>なん</style>メートルでしょう？,109メートル,190メートル
大椎城跡<style=C4-8.5>おおじいじょうあと</style>は過去<style=C2-2>かこ</style>に千葉氏<style=C3-3>ちばし</style>が本拠地<style=C3-4.5>ほんきょち</style>として使用<style=C2-3>しよう</style>していたが使用<style=C2-3>しよう</style>していたの時代<style=C2-3>じだい</style>はどちらでしょう？,平安時代<style=C4-7>へいあんじだい</style>,鎌倉時代<style=C4-7>かまくらじだい</style>
東光院<style=C3-6>とうこういん</style>が建造<style=C2-4>けんぞう</style>された時代<style=C2-3>じだい</style>はいつとされているでしょうか？,平安時代<style=C4-7>へいあんじだい</style>,江戸時代<style=C4-5>えどじだい</style>
千葉市<style=C3-3>ちばし</style>にある有吉北貝塚<style=C5-10>ありよしきたかいづか</style>には次<style=C1-2>つぎ</style>のうちどちらが落<style=C1-1>お</style>ちているでしょう？,土器片<style=C3-4>どきへん</style>,貝殻<style=C2-4>かいづか</style>
有吉南貝塚<style=C5-10>ありよしきたかいづか</style>から過去<style=C2-2>かこ</style>の遺体<style=C2-3>いたい</style>が発見<style=C2-3.5>はっけん</style>された。その遺体<style=C2-3>いたい</style>と一緒<style=C2-3>いっしょ</style>に動物<style=C2-4>どうぶつ</style>の骨<style=C1-2>ほね</style>で作<style=C1-2>つく</style>った装飾品<style=C3-6.5>そうしょくひん</style>が出土<style=C3-3.5>しゅつど</style>された。その動物<style=C2-4>どうぶつ</style>はどちらでしょう？,イルカ,クジラ
加曽利貝塚<style=C5-7>かそりかいづか</style>は日本最大級<style=C5-9.5>にほんさいだいきゅう</style>の大<style=C1-2>おお</style>きさをしている。上空<style=C2-4.5>じょうくう</style>から見<style=C1-1>み</style>ると次<style=C1-2>つぎ</style>のうちどちらの形<style=C1-3>かたち</style>をしているでしょう？,８の字型<style=C2-3>じがた</style>,三角型<style=C3-6>さんかくけい</style>
荒屋敷貝塚<style=C5-9>あらやしきかいづか</style>は少<style=C1-2>すこ</style>し高<style=C1-2>たか</style>い位置<style=C2-2>いち</style>にある貝塚<style=C2-4>かいづか</style>である。その高<style=C1-2>たか</style>さは次<style=C1-2>つぎ</style>のうちどちらでしょう？,31メートル,41メートル
花輪貝塚<style=C4-7>はなわかいづか</style>は平成<style=C2-4>へいせい</style>になってから、国指定史跡<style=C5-8>くにしていしせき</style>に登録<style=C2-4>とうろく</style>された。それは次<style=C1-2>つぎ</style>のうちどちらでしょう？,平成１５年<style=C5-9.5>へいせいじゅうごねん</style>,平成5年<style=C4-7>へいせいごねん</style>
東寺山貝塚<style=C5-11>ひがしてらやまかいづか</style>からはとある動物<style=C2-4>どうぶう</style>の骨<style=C1-2>ほね</style>が丸々１頭分出土<style=C8-13>まるまるいっとうぶんしゅつど</style>された。その動物<style=C2-4>どうぶつ</style>はどちらでしょう？,クジラ,マグロ
滑橋貝塚<style=C4-9>なめりばしかいづか</style>の近<style=C1-2>ちか</style>くには川<style=C1-2>かわ</style>が流<style=C1-2>なが</style>れている。その川<style=C1-2>かわ</style>はとある生物<style=C2-4>せいぶつ</style>の自生地<style=C3-4>じせいち</style>になっている。その生物<style=C2-4>せいぶつ</style>は次<style=C1-2>つぎ</style>のうちどちらでしょう？,ホタル,カゲロウ
千葉市動物公園<style=C3-11>ちばしどうぶつこうえん</style>ではとある姿<style=C1-3>すがた</style>をすることで有名<style=C2-4>ゆうめい</style>なレッサーパンダの風太君<style=C3-5>ふうたくん</style>に会<style=C1-1>あ</style>うことできる。風太君<style=C3-5>ふうたくん</style>がよくするポーズは次<style=C1-2>つぎ</style>のうちどちらでしょう？,立<style=C1-1>た</style>つ,寝<style=C1-1>ね</style>る
高品城跡<style=C4-8.5>たかしなじょうあと</style>は千葉<style=C2-2>ちば</style>の中心部<style=C3-5.5>ちゅうしんぶ</style>から次<style=C1-2>つぎ</style>のうちどのくらいの距離<style=C2-2.5>きょり</style>でしょう？,2キロメートル,1キロメートル
紅嶽弁財天<style=C5-10>べんたけべんざいてん</style>では四月<style=C2-3>しがつ</style>の巳<style=C1-1>み</style>の日<style=C1-1>ひ</style>に行事<style=C2-3.5>ぎょうじ</style>がありジンメイといったものを納<style=C1-1>お</style>めていた。ジンメイは次<style=C1-2>つぎ</style>のうちなんでしょう？,お札,<style=C1-2>ふだ</style>お守<style=C1-2>まも</style>り
羽衣<style=C2-4>はごろも</style>の松千葉県立美術館<style=C8-13.5>まつちばけんりつびじゅつかん</style>には「みる・○○○・つくる」といった活動理念<style=C4-7>かつどうりねん</style>がある。○○○に入<style=C1-2>はい</style>る言葉<style=C2-3>ことば</style>は次<style=C1-2>つぎ</style>のうちどれでしょう？,かたる,かざる
千葉市立郷土博物館<style=C9-14.5>ちばしりつきょうどはくぶつかん</style>は古代<style=C2-3>こだい</style>から中世<style=C2-4.5>ちゅうせい</style>にかけて活躍<style=C2-4>かつどう</style>した偉人<style=C2-3>いじん</style>の居城<style=C2-4.5>きょじょう</style>に建<style=C1-1>た</style>てられた。その偉人<style=C2-3>いじん</style>は次<style=C1-2>つぎ</style>のうちどれでしょう？,千葉氏<style=C3-3>ちばし</style>,蘇我氏<style=C3-3>そがし</style>
千葉<style=C2-2>ちば</style>ポートパークは○○○発祥<style=C2-4.5>はっしょう</style>の地<style=C1-1>ち</style>と言<style=C1-1>い</style>われている。○○○に入<style=C1-2>はい</style>る言葉<style=C2-3>ことば</style>は次<style=C1-2>つぎ</style>のうちどれでしょう？,千葉港<style=C3-4>ちばこう</style>,千葉市<style=C3-3>ちばし</style>
千葉公園<style=C4-6>ちばこうえん</style>では夏<style=C1-2>なつ</style>になるととある花<style=C1-2>はな</style>を見<style=C1-1>み</style>ることができる。それは次<style=C1-2>つぎ</style>のうちどれでしょう？,大賀<style=C2-3>おおが</style>ハス,夾竹桃<style=C3-6.5>きょうちくとう</style>
猪鼻城跡<style=C4-6.5>いのはなじょう</style>では資料館<style=C3-5.5>しりょうかん</style>に入場<style=C2-5>にゅうじょう</style>することができます。入場料<style=C3-7.5>にゅうじょうりょう</style>は次<style=C1-2>つぎ</style>のうちどちらでしょう？,60円<style=C1-2>えん</style>,600円<style=C1-2>えん</style>
月ノ木貝塚<style=C5-8>つきのきかいづか</style>ではハマグリ、キサゴ、アサリなどの貝<style=C1-2>かい</style>が出土<style=C2-3.5>しゅつど</style>しています。この貝達<style=C2-4>かいたち</style>の共通点<style=C3-6.5>きょうつうてん</style>は次<style=C1-2>つぎ</style>のうちどれでしょう？,浅<style=C1-2>あさ</style>い海<style=C1-2>うみ</style>に住<style=C1-1>す</style>む,深<style=C1-2>ふか</style>い海<style=C1-2>うみ</style>に住<style=C1-1>す</style>む
伝・千葉宗胤五輪塔<style=C9-13>でんちばむねたねごりんとう</style>はとある意味<style=C2-2>いみ</style>を持<style=C1-1>も</style>って建<style=C1-1>た</style>てられたといわれている。その理由<style=C2-3>りゆう</style>は次<style=C1-2>つぎ</style>のうちどれでしょう？,宗胤<style=C2-4>むねたね</style>の墓<style=C1-2>はか</style>,記念碑<style=C3-4>きねんひ</style>
千葉神社<style=C4-5.5>ちばじんじゃ</style>では妙見様<style=C3-6.5>みょうけんさま</style>と呼<style=C1-1>よ</style>ばれる珍<style=C1-3>めずら</style>しい神様<style=C2-4>かみさま</style>を祀<style=C1-2>まつ</style>っています。妙見様<style=C3-6.5>みょうけんさま</style>は次<style=C1-2>つぎ</style>のうちなんの神様<style=C2-4>かみさま</style>でしょう？,北極星<style=C3-6>ほっきょくせい</style>の神様<style=C2-4>かみさま</style>,南極星<style=C3-6.5>なんきょくせい</style>の神様<style=C2-4> かみさま</style>
千葉寺<style=C3-5>せんようじ</style>には県<style=C1-2>けん</style>の天然記念物<style=C3-9>てんねんきねんぶつ</style>に指定<style=C2-3>してい</style>されている木<style=C1-1>き</style>がある。それは次<style=C1-2>つぎ</style>のうちどれでしょう？,イチョウ,ギンナン
お茶<style=C1-1.5>ちゃ</style>の水<style=C1-2>みず</style>はそばで不動明王<style=C4-7.5>ふどうみょうおう</style>が祀<style=C1-2>まつ</style>られているため別<style=C1-2>べつ</style>の呼<style=C1-1>よ</style>び方<style=C1-2>かた</style>をされることがある。それは次<style=C1-2>つぎ</style>のうちどれでしょう？,不動<style=C2-3>ふどう</style>の泉<style=C1-3>いずみ</style>,明王<style=C2-4.5>みょうおう</style>の泉<style=C1-3>いずみ</style>
千葉市<style=C3-3>ちばし</style>には貝塚<style=C2-4>かいづか</style>が5箇所<style=C2-2.5>かしょ</style>ありますが一番海<style=C3-6>いちばんうみ</style>から遠<style=C1-2>とお</style>い貝塚<style=C2-4>かいづか</style>は、どちらでしょう？,誉田高田貝塚<style=C6-10>ほんだたかだかいづか</style>,加曾利貝塚博物館<style=C8-13>かそりかいづかはくぶつかん</style>
千葉市<style=C3-3>ちばし</style>の海岸<style=C2-4>かいがん</style>は白砂青松<style=C4-8>はくしゃせいしょう</style>とうたわれとある作品<style=C2-4>さくひん</style>に登場<style=C2-4>登場</style>している。その作品<style=C2-4>さくひん</style>は次<style=C1-2>つぎ</style>のうちどれでしょう？,富嶽三十六景<style=C6-11>ふがくさんじゅうろっけい</style>,見返<style=C2-3>みかえ</style>り美人<style=C2-3>びじん</style>
